id,activity
139,2015-04-07 15:18:55.035535+00
140,2015-04-07 15:19:35.358721+00
141,2015-04-07 15:20:19.324884+00
71,2015-05-11 12:04:28.199882+00
89,2015-05-08 20:02:30.299874+00
146,2015-04-07 15:46:23.11222+00
163,2015-05-08 15:28:58.854738+00
137,2015-04-16 15:10:51.725167+00
52,2015-04-07 00:49:24.083837+00
144,2015-05-08 15:24:36.646222+00
167,2015-04-29 20:48:51.043624+00
155,2015-04-30 00:34:34.247635+00
101,2015-04-14 19:56:20.43192+00
67,2015-05-12 12:55:00.396725+00
177,2015-04-21 15:54:26.706434+00
138,2015-04-27 16:51:44.932634+00
159,2015-04-07 16:50:10.857551+00
862,2015-04-21 19:30:14.336534+00
94,2015-04-10 17:51:39.668742+00
872,2015-05-13 16:04:42.336309+00
880,2015-04-22 17:25:39.460091+00
876,2015-04-22 16:48:55.224648+00
142,2015-04-10 19:16:01.930942+00
883,2015-04-22 17:30:49.269175+00
74,2015-05-08 12:54:30.572725+00
891,2015-04-22 17:40:50.914014+00
289,2015-05-01 14:24:32.463095+00
320,2015-04-15 15:31:08.905905+00
203,2015-04-07 18:03:09.939558+00
287,2015-05-06 15:13:20.768683+00
881,2015-05-12 17:25:51.105065+00
268,2015-04-17 13:41:59.066451+00
889,2015-05-24 15:43:59.344+00
195,2015-04-16 20:47:07.482847+00
189,2015-04-07 17:30:41.130923+00
191,2015-04-07 17:40:14.343956+00
263,2015-04-14 18:07:25.258324+00
248,2015-04-14 18:02:28.062428+00
331,2015-04-24 16:10:21.476801+00
197,2015-04-07 17:44:48.356191+00
322,2015-04-14 15:25:40.911062+00
208,2015-05-13 13:00:34.625893+00
290,2015-05-08 22:10:32.139175+00
187,2015-05-12 12:42:40.874134+00
223,2015-04-07 19:52:16.750177+00
204,2015-04-07 18:03:51.240719+00
36,2015-04-03 19:41:10.959649+00
209,2015-04-17 14:49:14.736654+00
207,2015-04-07 18:45:44.011391+00
858,2015-04-21 18:39:29.875069+00
325,2015-04-08 15:21:26.206847+00
836,2015-05-22 18:19:32.23671+00
190,2015-05-19 17:25:04.029292+00
297,2015-04-20 14:41:09.395006+00
216,2015-04-10 20:12:03.377298+00
41,2015-05-04 14:52:10.464045+00
217,2015-04-07 19:46:30.303314+00
273,2015-05-06 14:42:57.019596+00
848,2015-05-27 10:36:05.65089+00
220,2015-04-07 19:49:31.796624+00
221,2015-04-07 19:49:57.281873+00
222,2015-04-07 19:50:04.268991+00
112,2015-05-01 15:11:37.518356+00
284,2015-05-11 15:38:54.768605+00
225,2015-04-07 19:52:04.928308+00
170,2015-04-07 21:42:43.893752+00
235,2015-04-08 20:43:32.000681+00
232,2015-04-21 04:46:00.28094+00
237,2015-04-07 20:53:54.092781+00
309,2015-05-01 16:17:56.826677+00
234,2015-04-07 20:54:27.98523+00
303,2015-04-13 15:19:34.639421+00
298,2015-04-14 14:03:20.113029+00
238,2015-04-10 15:11:09.396438+00
233,2015-04-07 20:57:41.598446+00
181,2015-04-10 17:41:36.016707+00
240,2015-04-07 20:58:28.839298+00
262,2015-04-08 04:58:01.663911+00
242,2015-04-09 12:24:54.140079+00
210,2015-04-10 20:14:10.76363+00
301,2015-04-08 14:40:43.760723+00
261,2015-04-10 18:19:06.590134+00
183,2015-05-15 17:54:44.517278+00
825,2015-04-18 21:15:10.665063+00
219,2015-04-21 16:41:04.4297+00
176,2015-04-10 20:20:25.585675+00
321,2015-05-13 15:16:04.196934+00
251,2015-04-07 23:21:18.696158+00
253,2015-04-07 23:28:27.44769+00
185,2015-04-10 17:50:51.06458+00
254,2015-04-08 00:30:04.918834+00
299,2015-04-15 13:30:29.853452+00
842,2015-05-26 10:32:58.340204+00
330,2015-05-12 14:11:01.459509+00
211,2015-04-20 19:57:42.211747+00
310,2015-05-11 00:44:22.842099+00
246,2015-05-06 14:58:28.209444+00
260,2015-04-08 04:23:14.225945+00
228,2015-04-07 21:01:21.717338+00
201,2015-04-07 22:05:47.563895+00
831,2015-05-08 18:19:03.524707+00
308,2015-04-14 15:17:23.074093+00
270,2015-04-23 10:56:01.206208+00
243,2015-04-17 15:37:34.693342+00
819,2015-05-08 16:11:28.288347+00
269,2015-05-12 17:09:34.485555+00
245,2015-04-14 19:44:55.763636+00
274,2015-04-08 13:33:40.335698+00
315,2015-04-08 15:10:23.565909+00
256,2015-05-08 17:44:02.864195+00
278,2015-04-08 13:41:17.431395+00
275,2015-04-08 13:41:19.561902+00
314,2015-05-13 15:00:36.450972+00
863,2015-04-21 19:36:07.176168+00
282,2015-04-08 13:45:28.563269+00
281,2015-04-08 13:45:31.392073+00
283,2015-04-08 13:49:29.324092+00
853,2015-04-21 17:58:37.025087+00
813,2015-04-24 15:25:39.112432+00
285,2015-04-08 13:56:37.105057+00
286,2015-04-08 14:01:21.843453+00
291,2015-04-14 14:19:49.078315+00
194,2015-04-27 19:21:58.348644+00
312,2015-04-22 19:03:26.565239+00
121,2015-04-20 20:03:58.397575+00
196,2015-04-14 14:21:01.354995+00
292,2015-04-08 14:10:15.712746+00
257,2015-05-18 16:52:42.949089+00
280,2015-04-08 17:23:34.425455+00
215,2015-05-19 00:32:08.311846+00
843,2015-04-21 16:14:17.78204+00
296,2015-04-08 14:25:35.860081+00
313,2015-05-19 17:39:00.699868+00
277,2015-04-08 14:07:18.077436+00
304,2015-04-08 14:54:42.564028+00
214,2015-04-15 15:24:10.695719+00
316,2015-04-16 20:45:33.392926+00
250,2015-04-07 23:00:28.522433+00
341,2015-04-08 17:04:29.568886+00
305,2015-04-08 14:58:31.269306+00
873,2015-04-28 14:04:36.937066+00
307,2015-04-08 14:59:59.826681+00
311,2015-04-08 15:06:56.605345+00
249,2015-05-06 14:57:47.833873+00
244,2015-05-24 16:04:17.697083+00
318,2015-04-08 15:13:47.728113+00
319,2015-04-08 15:13:55.90193+00
324,2015-04-08 15:22:32.877787+00
227,2015-04-08 15:16:40.351323+00
241,2015-04-08 15:16:42.031788+00
236,2015-04-09 16:51:38.124393+00
306,2015-04-21 19:38:35.598698+00
199,2015-04-13 13:00:04.23072+00
276,2015-05-12 16:40:11.526681+00
188,2015-05-13 17:13:33.287288+00
326,2015-04-08 15:23:33.008136+00
198,2015-04-16 19:42:34.745348+00
328,2015-04-08 15:25:08.48043+00
866,2015-04-21 23:27:50.668833+00
869,2015-04-22 11:38:48.433329+00
184,2015-04-22 18:57:07.617154+00
266,2015-05-21 16:40:12.313568+00
302,2015-04-13 14:28:47.421591+00
327,2015-05-15 21:59:07.01734+00
288,2015-04-08 14:06:43.202486+00
342,2015-04-15 17:26:34.250148+00
338,2015-04-08 20:05:05.846173+00
264,2015-04-09 12:44:31.628396+00
877,2015-04-22 16:48:28.546087+00
335,2015-04-08 16:49:18.667338+00
884,2015-04-22 17:27:32.300185+00
252,2015-04-27 19:34:18.22683+00
339,2015-04-08 16:51:45.706179+00
229,2015-04-08 20:33:22.497587+00
336,2015-04-08 16:54:09.105679+00
230,2015-04-08 16:54:52.025939+00
337,2015-04-08 16:57:01.19447+00
178,2015-05-12 21:06:24.798104+00
192,2015-04-14 17:41:24.639758+00
239,2015-04-11 00:44:18.479002+00
193,2015-04-16 16:13:44.804981+00
206,2015-04-08 19:34:02.935165+00
213,2015-05-01 19:59:16.826926+00
323,2015-05-12 17:06:33.885224+00
218,2015-04-14 14:19:13.486063+00
457,2015-04-16 20:48:26.397454+00
446,2015-04-14 20:41:27.527833+00
345,2015-04-08 16:55:44.69684+00
460,2015-04-30 21:00:25.661988+00
481,2015-04-09 05:09:05.440938+00
452,2015-05-13 20:36:56.126247+00
165,2015-05-18 18:56:05.773652+00
465,2015-04-09 20:09:55.568231+00
388,2015-05-11 03:39:10.911393+00
385,2015-04-16 18:15:47.705793+00
353,2015-04-08 17:12:23.4289+00
355,2015-04-08 17:13:01.409879+00
381,2015-04-15 16:50:02.789718+00
354,2015-04-08 17:13:58.667987+00
348,2015-04-08 17:14:22.604412+00
368,2015-05-13 14:09:44.220582+00
360,2015-04-08 17:19:34.086465+00
359,2015-05-08 17:41:17.922584+00
837,2015-05-15 13:37:57.656198+00
421,2015-04-17 19:21:49.11377+00
387,2015-04-17 13:37:39.629629+00
361,2015-05-06 17:07:41.746752+00
826,2015-04-19 18:50:02.577526+00
205,2015-04-28 14:12:26.50909+00
370,2015-04-08 17:28:43.78878+00
462,2015-04-14 17:31:35.737435+00
455,2015-05-08 20:44:21.188656+00
374,2015-04-08 17:32:30.384124+00
373,2015-04-09 13:55:06.786493+00
474,2015-04-30 13:56:01.046661+00
449,2015-04-14 20:58:43.485104+00
379,2015-04-08 17:37:59.059443+00
394,2015-05-13 19:54:52.217087+00
814,2015-05-06 19:11:43.954555+00
369,2015-04-08 17:40:08.290804+00
180,2015-05-06 13:40:07.459416+00
463,2015-05-05 15:39:38.956595+00
384,2015-04-08 17:43:43.287132+00
820,2015-04-17 16:15:39.981888+00
445,2015-04-17 19:17:47.437543+00
344,2015-04-24 04:40:57.162903+00
414,2015-04-17 19:21:11.330217+00
402,2015-04-27 19:07:30.204258+00
471,2015-04-09 00:24:56.35175+00
393,2015-04-08 19:00:46.626214+00
347,2015-04-14 17:42:31.411562+00
395,2015-04-08 19:23:11.375406+00
432,2015-04-14 20:30:42.560319+00
443,2015-04-20 21:30:40.820435+00
382,2015-04-10 17:43:58.668767+00
399,2015-04-08 19:35:23.368852+00
451,2015-05-13 20:36:04.674064+00
380,2015-05-12 17:07:30.853844+00
832,2015-04-20 19:18:46.844596+00
405,2015-04-08 19:37:03.647455+00
468,2015-05-12 17:10:14.514094+00
404,2015-04-08 19:38:09.690294+00
870,2015-04-24 13:56:04.990299+00
367,2015-05-06 17:08:05.673679+00
409,2015-04-08 19:41:16.69022+00
864,2015-04-28 17:09:10.633679+00
494,2015-04-09 12:51:51.088956+00
413,2015-04-08 19:42:48.198734+00
410,2015-04-17 21:26:31.379195+00
363,2015-04-14 17:15:56.667662+00
484,2015-04-24 17:34:24.568748+00
383,2015-04-14 13:44:49.695994+00
398,2015-04-10 16:44:25.309104+00
493,2015-04-09 12:47:29.292775+00
417,2015-04-08 19:45:10.724991+00
434,2015-04-14 20:30:54.142746+00
406,2015-04-08 19:46:17.99685+00
415,2015-04-19 23:10:32.690011+00
419,2015-04-08 19:48:10.36575+00
477,2015-04-17 17:37:30.144196+00
461,2015-04-15 13:22:00.762975+00
422,2015-04-08 19:51:46.537579+00
424,2015-04-08 20:09:59.756964+00
425,2015-04-08 20:11:00.678356+00
334,2015-04-08 16:53:58.209734+00
423,2015-04-08 20:21:40.010049+00
454,2015-05-06 20:21:08.034922+00
420,2015-04-20 19:12:59.835909+00
437,2015-04-08 20:30:14.575856+00
498,2015-04-15 19:56:57.765124+00
392,2015-04-08 18:57:33.817164+00
480,2015-04-27 14:27:46.46952+00
444,2015-04-08 20:32:06.068924+00
439,2015-04-08 20:32:54.350631+00
844,2015-04-21 16:28:49.93382+00
488,2015-05-18 17:16:23.370487+00
475,2015-04-09 01:31:30.92999+00
10,2015-04-01 22:50:41.048695+00
448,2015-04-08 20:33:31.391824+00
469,2015-04-22 20:21:40.584359+00
428,2015-04-08 20:28:40.02071+00
456,2015-04-08 20:44:55.455589+00
472,2015-04-09 01:22:24.267124+00
351,2015-04-30 17:32:10.810119+00
473,2015-04-09 01:25:51.868351+00
450,2015-04-08 20:34:18.472612+00
386,2015-05-18 01:58:19.155026+00
458,2015-04-08 20:49:26.80004+00
376,2015-04-14 19:52:49.744583+00
343,2015-04-08 17:10:23.140938+00
231,2015-05-06 17:19:38.152914+00
447,2015-04-20 21:12:38.916195+00
103,2015-05-22 20:05:01.019331+00
365,2015-04-15 16:51:08.757957+00
453,2015-04-08 20:40:01.850742+00
427,2015-04-15 20:06:54.541658+00
389,2015-05-22 18:19:48.865115+00
440,2015-05-06 20:15:21.704951+00
378,2015-04-14 17:46:58.079833+00
375,2015-05-07 13:06:35.415623+00
464,2015-05-13 23:28:28.395625+00
396,2015-04-08 19:25:25.216492+00
366,2015-04-15 16:50:51.626269+00
436,2015-04-08 20:33:29.279818+00
438,2015-04-15 17:48:25.114264+00
466,2015-05-20 20:17:40.364183+00
397,2015-04-23 00:43:26.651084+00
849,2015-05-01 13:53:07.113159+00
433,2015-05-06 20:17:30.792984+00
401,2015-05-14 12:32:21.337333+00
430,2015-04-08 20:33:35.476645+00
352,2015-04-27 15:22:58.834705+00
459,2015-04-09 20:09:01.372031+00
470,2015-04-08 23:31:49.2431+00
487,2015-04-21 17:22:41.295219+00
878,2015-04-22 16:57:27.522013+00
357,2015-04-17 02:16:22.177286+00
358,2015-04-08 17:41:37.293825+00
854,2015-04-21 18:08:44.994566+00
859,2015-04-21 18:40:50.319992+00
390,2015-04-08 18:36:54.781121+00
362,2015-05-14 17:04:57.940115+00
441,2015-04-13 21:20:28.891171+00
435,2015-04-08 20:31:45.60458+00
371,2015-05-06 17:20:25.402201+00
349,2015-04-28 00:17:11.822967+00
489,2015-04-09 12:37:50.580152+00
485,2015-05-15 17:43:27.188352+00
377,2015-04-14 17:40:39.208585+00
407,2015-04-08 19:40:44.898832+00
350,2015-04-08 17:36:24.941053+00
874,2015-04-22 15:51:45.443375+00
356,2015-04-29 17:23:53.837855+00
442,2015-04-08 20:34:30.198513+00
391,2015-04-14 18:59:14.061351+00
372,2015-04-08 17:31:15.319601+00
496,2015-04-14 17:09:56.215448+00
495,2015-04-14 17:09:52.495352+00
426,2015-04-08 20:18:56.794325+00
527,2015-04-15 21:15:36.098454+00
635,2015-04-14 20:53:59.665776+00
585,2015-04-10 15:09:56.215533+00
586,2015-04-10 15:10:17.06112+00
499,2015-04-09 13:36:58.397428+00
593,2015-05-19 00:32:51.747143+00
587,2015-04-10 15:10:22.534081+00
503,2015-04-09 13:46:08.420621+00
504,2015-04-09 13:46:36.729035+00
505,2015-04-09 13:47:38.298089+00
118,2015-04-21 15:57:02.978546+00
525,2015-04-24 12:50:58.867663+00
502,2015-04-09 13:45:48.918353+00
509,2015-04-09 14:13:14.062862+00
647,2015-05-08 17:57:21.81748+00
511,2015-04-09 14:25:38.812468+00
510,2015-05-01 20:11:19.267216+00
838,2015-05-14 00:24:35.167485+00
545,2015-04-28 00:30:48.521618+00
506,2015-05-13 23:28:36.007128+00
622,2015-05-01 16:08:35.448716+00
520,2015-04-09 16:40:28.277788+00
595,2015-04-17 19:58:39.872184+00
600,2015-05-08 15:21:54.993299+00
632,2015-04-23 14:41:03.153725+00
627,2015-05-21 15:42:11.200287+00
523,2015-04-09 16:51:56.800763+00
332,2015-04-23 13:21:40.999395+00
640,2015-04-28 14:55:23.262369+00
333,2015-04-23 13:21:48.574083+00
581,2015-04-14 19:00:52.360124+00
515,2015-04-13 23:25:48.537779+00
544,2015-05-14 12:37:54.824007+00
603,2015-04-21 20:32:33.112302+00
532,2015-04-09 19:05:09.942656+00
533,2015-04-09 19:05:13.583293+00
535,2015-04-09 20:04:41.821343+00
536,2015-04-09 20:06:27.787302+00
537,2015-04-09 20:07:07.734825+00
620,2015-05-08 16:14:51.944965+00
579,2015-05-01 15:47:27.18374+00
554,2015-04-23 15:34:27.892144+00
541,2015-04-09 22:16:51.495736+00
574,2015-04-15 00:37:57.484285+00
294,2015-04-22 19:33:39.16219+00
202,2015-04-09 16:09:48.371088+00
157,2015-05-05 15:30:48.323936+00
646,2015-04-20 14:55:46.449405+00
638,2015-04-10 17:32:17.35052+00
547,2015-04-10 03:08:10.639313+00
548,2015-04-10 08:43:00.15344+00
549,2015-04-10 12:37:28.544052+00
514,2015-04-10 12:45:00.325966+00
550,2015-04-10 12:50:00.858184+00
543,2015-04-09 22:56:26.98163+00
552,2015-04-10 13:05:25.154783+00
583,2015-04-13 12:33:39.351399+00
512,2015-04-23 15:34:18.918152+00
555,2015-04-10 13:08:32.893786+00
516,2015-04-10 15:48:26.766236+00
500,2015-05-03 17:30:34.799609+00
556,2015-04-10 13:17:13.337137+00
553,2015-04-13 13:19:48.391639+00
598,2015-04-22 20:28:12.930648+00
529,2015-05-12 17:30:23.489879+00
540,2015-05-01 20:48:39.884245+00
568,2015-05-08 16:16:27.720895+00
629,2015-04-10 16:31:53.309575+00
558,2015-04-10 14:04:45.946665+00
559,2015-04-10 14:07:07.530281+00
501,2015-04-09 13:48:54.981757+00
630,2015-05-08 15:21:35.512514+00
560,2015-04-10 14:10:50.327132+00
561,2015-04-10 14:12:50.445163+00
562,2015-04-10 14:29:21.74013+00
628,2015-04-10 16:29:52.747138+00
567,2015-04-10 14:31:50.933878+00
518,2015-05-15 14:38:32.471517+00
571,2015-04-10 14:35:42.840078+00
590,2015-05-01 14:55:46.369448+00
576,2015-04-10 14:42:53.830048+00
621,2015-04-10 16:16:54.267689+00
573,2015-05-01 16:11:16.192395+00
578,2015-04-10 14:51:20.298161+00
599,2015-04-20 15:19:04.178571+00
127,2015-04-07 15:04:37.01815+00
172,2015-04-09 20:39:25.03162+00
563,2015-04-10 14:58:07.989009+00
564,2015-05-08 14:53:31.475956+00
609,2015-04-10 15:49:29.467081+00
624,2015-05-22 16:17:25.746035+00
524,2015-04-10 15:07:44.169219+00
596,2015-04-10 15:35:53.153559+00
570,2015-04-17 14:35:32.815546+00
601,2015-05-08 15:22:23.184585+00
122,2015-05-01 23:51:40.363822+00
642,2015-05-07 03:20:26.224862+00
594,2015-04-10 15:41:31.958241+00
612,2015-04-22 17:58:37.112104+00
602,2015-04-10 15:41:28.420547+00
566,2015-04-15 18:47:04.257196+00
546,2015-04-20 17:52:52.807089+00
186,2015-04-17 13:21:26.615324+00
623,2015-05-15 16:37:40.745235+00
584,2015-05-04 16:43:49.491733+00
580,2015-05-01 14:56:14.679239+00
507,2015-04-28 13:27:34.653604+00
641,2015-04-20 17:31:03.870106+00
605,2015-04-17 15:34:36.227346+00
519,2015-04-10 15:44:53.290872+00
615,2015-04-10 16:10:06.227831+00
611,2015-05-07 22:36:23.976766+00
589,2015-05-27 13:31:00.172174+00
522,2015-04-17 14:18:50.558813+00
610,2015-04-10 15:50:35.352289+00
639,2015-05-29 16:29:41.516923+00
616,2015-04-10 16:10:18.293479+00
815,2015-05-06 14:05:24.579116+00
255,2015-04-10 16:32:08.795556+00
557,2015-04-22 13:41:12.672154+00
569,2015-04-17 14:34:30.364688+00
626,2015-04-10 16:22:32.583635+00
617,2015-04-10 16:12:35.973093+00
633,2015-04-10 16:46:38.165582+00
613,2015-04-10 16:14:14.071166+00
551,2015-04-15 19:03:08.27421+00
618,2015-05-08 16:16:50.009722+00
821,2015-05-13 20:23:05.848207+00
648,2015-05-22 17:32:24.974374+00
531,2015-04-15 19:02:33.406135+00
619,2015-04-10 16:18:44.682161+00
577,2015-04-17 14:28:19.391266+00
636,2015-04-10 16:50:28.673932+00
631,2015-04-10 16:48:53.841337+00
634,2015-04-10 16:49:12.927942+00
508,2015-04-10 16:49:27.660358+00
827,2015-04-19 20:02:56.783953+00
644,2015-05-01 17:30:45.458009+00
607,2015-05-15 15:22:11.129366+00
625,2015-05-12 16:47:46.513154+00
591,2015-04-10 17:34:44.698439+00
833,2015-04-20 19:19:22.390004+00
416,2015-04-30 13:27:28.964717+00
597,2015-04-21 16:04:15.431296+00
534,2015-05-06 01:41:37.112263+00
643,2015-04-10 17:47:11.719186+00
572,2015-04-10 19:08:28.012782+00
649,2015-05-08 17:40:59.081115+00
412,2015-04-14 19:53:29.133723+00
96,2015-04-30 13:58:34.361421+00
845,2015-04-21 16:30:28.424514+00
70,2015-05-13 03:13:24.984085+00
637,2015-04-10 17:52:21.656646+00
614,2015-04-10 16:08:51.714946+00
860,2015-04-21 19:03:13.970794+00
517,2015-04-14 15:35:38.755164+00
528,2015-04-21 14:21:00.128275+00
486,2015-04-10 18:10:44.506685+00
652,2015-04-10 18:39:24.853147+00
739,2015-04-28 18:46:00.195418+00
656,2015-04-10 19:03:41.306731+00
657,2015-04-10 19:16:00.481349+00
659,2015-04-10 19:25:32.988992+00
704,2015-05-04 16:46:02.478598+00
703,2015-04-21 14:28:49.405767+00
329,2015-05-08 15:24:47.691971+00
661,2015-04-10 20:05:47.662666+00
662,2015-04-10 20:07:02.003684+00
730,2015-04-27 19:00:09.624102+00
668,2015-05-22 02:15:17.140938+00
664,2015-04-21 01:15:47.142905+00
760,2015-04-27 20:35:47.934428+00
667,2015-04-14 18:32:59.100667+00
317,2015-05-19 17:35:47.176933+00
403,2015-04-24 12:42:36.73812+00
300,2015-04-30 15:00:34.612315+00
670,2015-04-10 20:20:53.5976+00
756,2015-04-27 17:25:58.036248+00
672,2015-04-10 22:07:19.166657+00
737,2015-04-16 19:56:16.45748+00
695,2015-05-14 02:21:32.794546+00
743,2015-04-27 20:35:35.673153+00
770,2015-05-10 02:35:18.93456+00
675,2015-04-11 00:48:52.551614+00
164,2015-04-10 20:16:09.39829+00
479,2015-05-12 14:34:07.005524+00
750,2015-04-23 13:30:45.47815+00
679,2015-04-11 17:16:27.200308+00
761,2015-04-24 21:00:32.943575+00
678,2015-05-13 22:28:16.499093+00
706,2015-04-14 13:52:00.329915+00
683,2015-04-12 21:52:34.123751+00
684,2015-04-12 23:41:21.979763+00
686,2015-04-17 13:11:16.726172+00
467,2015-04-13 14:34:25.480917+00
685,2015-04-13 12:54:31.917495+00
346,2015-05-13 16:54:27.846724+00
687,2015-05-04 13:00:39.70511+00
491,2015-04-24 13:30:54.232947+00
717,2015-04-24 12:49:58.358827+00
271,2015-04-13 13:34:15.750897+00
753,2015-05-02 21:28:13.920328+00
688,2015-04-13 14:44:45.714149+00
689,2015-04-13 14:50:19.629799+00
490,2015-05-11 12:04:01.179107+00
669,2015-04-17 20:12:40.967975+00
691,2015-04-13 15:09:19.103314+00
758,2015-04-24 12:56:54.854392+00
295,2015-05-08 13:33:46.863354+00
751,2015-05-08 14:20:48.861734+00
665,2015-04-10 20:20:42.098769+00
733,2015-04-14 13:52:36.937769+00
764,2015-04-17 22:29:37.352571+00
676,2015-05-02 01:01:59.944155+00
716,2015-04-14 13:46:11.464709+00
539,2015-06-15 00:02:40.797641+00
828,2015-04-19 20:03:23.163958+00
735,2015-04-14 13:52:51.689503+00
708,2015-04-13 21:25:32.86496+00
709,2015-04-13 21:26:19.16696+00
696,2015-05-15 16:21:23.297763+00
754,2015-04-14 14:07:19.78377+00
822,2015-05-08 17:31:16.080225+00
816,2015-04-30 15:41:04.915929+00
212,2015-04-17 19:59:14.121757+00
690,2015-04-13 16:21:08.192887+00
744,2015-04-24 12:44:46.138099+00
731,2015-04-14 14:01:35.122771+00
699,2015-04-13 17:02:42.261543+00
42,2015-04-23 21:43:05.038222+00
258,2015-04-22 16:13:38.393218+00
736,2015-04-14 13:53:54.141264+00
719,2015-04-27 20:43:47.141317+00
