id,room_id,body,sender_id,sent_at,deleted
64,36,Your grade for the government issue is A-  good answers and I liked how you asked your PenPals to be more specific,6269,2015-04-01 22:56:12.766062+00,f
65,36,Your grade for the government issue is A. Great job! Did you have a lot for help with the ?s,6269,2015-04-01 22:58:00.391212+00,f
66,7,Your grade for the government issue is B,6269,2015-04-01 22:58:55.929709+00,f
67,6,Your grade for the government issue is B-,6269,2015-04-01 22:59:34.889905+00,f
68,11,Your grade for the government issue is B,6269,2015-04-01 23:00:08.468043+00,f
69,8,Your grade for the government issue is B,6269,2015-04-01 23:01:05.222634+00,f
70,9,Your grade for the government issue is D. I'm having trouble understanding your answers. Make sure you read over your answers to ensure they sound right before sending. Also some answers are not completed.,6269,2015-04-01 23:04:17.32094+00,f
71,38,Your grade for the government issue is C. Your answers should be developed more deeply,6269,2015-04-01 23:05:52.106103+00,f
72,38,Your grade for the government issue is A+. Amazing depth and complexity of thought.,6269,2015-04-01 23:07:14.645978+00,f
73,38,Your grade for the government issue is B+. I disagree with your opinion on immigration but it is well stated. Well done,6269,2015-04-01 23:09:01.422355+00,f
74,6,"Mr. Bates, the person I will be interviewing is my granddad. And the topic is war and conflict.",6699,2015-04-02 15:13:33.516416+00,f
75,6,Also i accidentally were you write your question under that it lets you add on in another paragraph. i did the adult answer in that not were your suppose to .,6699,2015-04-02 15:18:15.88+00,t
76,39,"Hola Ana, 

Mi nombre es Sandra soy de Tallahassee. Yo enseño español en la secundaria en los estados unidos. Me encantaría poder unir nuestras clases para tener a nuestros alumnos en contacto.. Por favor dejeme saber si seria posible. 


Sandra Timm",11006,2015-04-02 19:26:50.702713+00,f
77,39,"Tallahassee, FL, EEUU",11006,2015-04-02 19:27:02.016625+00,f
81,42,Wow im so happy to have you guys as my pals,9539,2015-04-06 22:29:54.933113+00,f
82,45,Hey!,9585,2015-04-06 23:02:33.56772+00,f
83,45,"Hi, nice to meet you 
where do you live?",9539,2015-04-06 23:37:37.582211+00,f
84,47,"Si, yo pienso igual que tu. Aquí tambien los ñiños van a la escuela y los adultos trabajan. Aca tambien se hacen actividades extracurriculares(osea a parte de la escuela o trabajo) como por ejemplo danza, canto, teatro, pintura, entre otros.",8215,2015-04-07 00:10:53.836512+00,f
85,48,"Si, acá es maso menos similar. La diferencia es que algunas personas no son tan mente abierta como otras. Por ejemplo cuando ven a dos personas del mismo sexo juntas osea en pareja, hay gente que no le gusta o no lo acepta, pero también hay otras que todo lo contrario.",8215,2015-04-07 00:25:13.433527+00,f
86,49,Hi Brylee! It's nice to meet you. I'm Brooklyn. I'm looking forward to writing to you 😊,10556,2015-04-07 00:30:06.226474+00,f
87,50,"Si es cierto, hay muchas libertades y las cuales están buenas. Igual la vida acá en Uruguay esta buena. Creo que ninguno de nosotros nos imaginaríamos la vida fuera del país en el que vivimos y crecimos. visitar otro país si pero vivir no",8215,2015-04-07 00:35:35.553199+00,f
88,51,"Hey,I Just wanted to say thank you!you were great with typing all of your responses and I hope you learned  something out of this Its a great website and I cant wait to do it again.Thank you have a wonderful day!!!!!(or night depends on when your reading it)",4045,2015-04-07 00:48:35.213843+00,f
89,52,hey good bye,3973,2015-04-07 00:49:12.738172+00,f
90,52,bye,3973,2015-04-07 00:49:24.073154+00,f
91,53,hello kyle... how i school where you live? ha ha,3989,2015-04-07 00:59:50.082+00,t
92,56,"Hi, Kerry! That's a cool name btw, I'm Ferina. :)",11307,2015-04-07 01:38:48.491246+00,f
93,55,"Hello Mr. Churchward!
I am Swathi, a current junior at Redlands High School, and I am currently leading the Gateway to Medicine Club at my school. As part of our new activity, we are broadening horizons by meeting kids from around the nation and sharing our ideas about poverty and technology, with a focus on healthcare and how it affects our daily lives. It is a privilege for us to be working with your students, and I know our club members will enjoy interacting with your sixth grade class!",9059,2015-04-07 01:39:44.440156+00,f
80,41,"Hi, my names Mae-lei(mae for short) and I'm looking forward to talking to you and being your pen pal. ☺️",11390,2015-04-06 22:20:30.882+00,t
94,54,"Hi Gerardo! I definitely agree with you that we have a variety of cultures and religions in our country, and, as you probably know, that is because we have freedom of speech and freedom of religion. What particular aspects of culture do you enjoy? Do you like trying new foods?",9057,2015-04-07 04:43:02.642873+00,f
95,60,"Hi Matthew! In what ways do you think we borrow culture? For example, we borrow foods from other cultures, such as the Spanish culture and Italian culture, and we borrow styles of clothing and certain ideas. What else could we come up with to describe how we borrow culture?",9057,2015-04-07 04:45:09.517138+00,f
96,61,"Where are you come from? My hometown is Taiwan, but now I'm working in China. :D
I think around the world everyone despite the cultures, colors and religions we all have an ordinary life, and I right?",7297,2015-04-07 05:15:21.746736+00,f
97,62,"Hola! Me llamo Kate Kuravackal y mis estudiantes estan emocionados para escribir a sus estudiantes. Me puedes decir un poco de su clase? Estamos en Tacoma. WA, EE, UU. Donde estan ustedes? Que le vaya bien!",387,2015-04-07 06:21:19.902335+00,f
98,63,"were did you comefrom?
i come from Switzerland",9383,2015-04-07 10:25:05.695965+00,f
99,64,in wath for a State did you  live,9383,2015-04-07 10:28:03.657579+00,f
100,65,were do you live?,9383,2015-04-07 10:29:36.626118+00,f
102,68,Hello how are you jayn G,9446,2015-04-07 12:44:03.406708+00,f
104,70,Hey Alysa! It is very nice to meet you! ^-^,10781,2015-04-07 12:46:31.398309+00,f
105,74,Why do you say they hide it? I agree with you but i just wanna know. What country are you from then?,11362,2015-04-07 12:59:27.531711+00,f
106,75,"I totally get that, but where i live we kinda do. Were not strict were laid back. But overall with the government , yeah we don't. Do you live , in the U.S. or no?",11362,2015-04-07 13:02:36.075883+00,f
107,73,We also have lots of fast food places around here. Which ones do you guys have? Do you ever eat the fast food? I mean I usually do sometimes but not everyday only when my mom is tired from work and doesn't cook dinner. I am actually going to a fast food place after school today with my best friend. But I do agree that fast food usually leads  to obesity and that most people eat fast food more than they really should.,11397,2015-04-07 13:02:52.04114+00,f
108,76,I live in Indiana. I've always live in the U.S and I agree we do have a great supply of technology and we will have more soon to come i'm sure. What kind of technology did you guys have in El Salvador? I have researched El Salvador many times and it is really beautiful.,11397,2015-04-07 13:08:06.931078+00,f
109,79,What's up where are you from ? How old are you ? are you even interested in pen pal's ?,10407,2015-04-07 13:24:16.696001+00,f
110,83,hi bobby! :),10415,2015-04-07 13:24:34.530757+00,f
111,82,whats poppinn?,10408,2015-04-07 13:36:37.508846+00,f
112,81,Whats good homie,10411,2015-04-07 13:39:10.480305+00,f
114,87,Hey,9453,2015-04-07 13:41:24.278282+00,f
113,85,"I Believe overall we are a generally average country towards our pollution, but that doesn't mean that there isn't more we can do. Some of our biggest pollution that really disturbs the environment outside of our own is runoff from farms getting into the water and it's even worse in the winter because of the salt we put on the roads and some of the other chemicals they use to melt ice, it deteriorates roads, and tires and gets into the water.",10404,2015-04-07 13:40:16.998+00,t
115,86,Hey how is texas because it sounds like a nice place to be in. What city do you live in. You live in a famous state because america had to fight the Mexicans for that state talk to you later. Sincerely Prestin Elek,9449,2015-04-07 13:43:42.138633+00,f
116,67,whats up chanler,11380,2015-04-07 13:49:21.109906+00,f
117,93,hey dude,1243,2015-04-07 13:52:54.981841+00,f
118,93,monkey,1243,2015-04-07 13:53:30.036366+00,f
119,93,angel,1243,2015-04-07 13:53:41.308782+00,f
120,93,whats it like in america,1250,2015-04-07 13:54:21.767404+00,f
121,91,"Hi I live in America, and am like 2 tables away from you. My country is cool because we get fat off of McDonalds and stuff. Go us.",1254,2015-04-07 13:54:29.813168+00,f
122,95,where are you from?,1260,2015-04-07 13:54:32.825323+00,f
123,93,i didn't get it,1243,2015-04-07 13:54:45.734396+00,f
124,93,its boring,1243,2015-04-07 13:55:04.030191+00,f
125,94,"Hey, it's Matt, I am guessing. So, I am Malia. I live in the US, if you can't tell. So, how do you see America? (This should be amusing, my country is a mess)",1242,2015-04-07 13:55:22.412305+00,f
126,96,"Hey, Yuhan!",1241,2015-04-07 13:55:22.482874+00,f
127,98,what state do you live in,1260,2015-04-07 13:55:27.48236+00,f
101,69,hey,9441,2015-04-07 12:43:46.466+00,t
128,89,Is this Brody Thomas? Txtng in class is so cool.,1254,2015-04-07 13:55:54.575924+00,f
129,99,"Hey, Noah. I am Malia, if you couldn't tell. Where are you from?",1242,2015-04-07 13:56:14.526345+00,f
130,100,where are you from?,1250,2015-04-07 13:56:23.631609+00,f
131,91,"Hi i also live two tables away from you and I agree, we are fat. :)",1251,2015-04-07 13:56:31.649728+00,f
132,101,where are you from,1243,2015-04-07 13:56:32.291998+00,f
133,102,"Hey, Chance. I am Malia. Where are you from?",1242,2015-04-07 14:30:37.02961+00,f
134,107,"I am from the  U.S.A and I live in a small town on a great lake. Im not really loud and outgoing, Im more of a quiet kid and music is my favorite hobby/subject. I own some equipment and I can make music too.",9387,2015-04-07 14:41:14.625935+00,f
135,110,Hello,10316,2015-04-07 14:42:13.122648+00,f
136,109,"Hi,my name is Neida and I live in Burleson,Texas.I play the flute and i love music.",10312,2015-04-07 14:44:08.556726+00,f
137,115,"It wasn't quite clear in the answer you wrote, but what country are you from?",1241,2015-04-07 14:47:33.420551+00,f
138,113,Hi! I would just like to comment on your response. I am curious what you mean by all 4 seasons. Does ALL of Canada have all four seasons? How long is each seasons? Do you think that the US does not have all 4 seasons?,1253,2015-04-07 14:47:39.971543+00,f
139,92,"I'm so excited to finally have a pen-pal! What part of Canada do you live in? I live in Bentonville, Arkansas. I love music, so I play clarinet and sing. I also love soccer! However, my favorite thing to do is bake. What are your hobbies?",1252,2015-04-07 14:47:50.538465+00,f
140,96,Is Canada a fun place?,1241,2015-04-07 14:48:53.616645+00,f
141,117,"What part of the United States do you live in? I live in Bentonville, Arkansas. I love music and play clarinet as well as sing. My favorite thing to do is bake though. I play soccer and love being outside. What types of things do you do in your free time?",1252,2015-04-07 14:49:27.6819+00,f
142,90,"Hi! My name is Cade(n) as you might have guessed, and I live in America (cue trumpet and national anthem). Now don't mind me saying this, but when it comes to topics that govern differences in our country like weather and politics. I mean we're 13 right? Let's talk about hobbies and habits and fun! So...what's your favorite food?",1254,2015-04-07 14:50:40.024959+00,f
143,118,I agree with you that access to technology is similar to other countries and is rapidly increasing. I think that its really interesting that you have diverse wildlife. What kind of wildlife do you have that you think is unique in your country?,1244,2015-04-07 14:51:48.754099+00,f
145,120,"I am assuming that you live in the United States. If so, what part do you live in? I live in Bentonville, Arkansas. I love soccer and music. Because of my love of music, I play clarinet and sing, and sometimes I attempt to play church hymns on the piano;) However, my favorite thing to do is bake. What types of things do you like to do?",1252,2015-04-07 14:53:05.375549+00,f
146,116,"I don't know much about Canada. I've heard much of it is very cold. Don't know much after that. I've heard it's mostly rural and that there's a lot of wilderness. Honestly it makes me curious. Finally , about how often does it snow over there? if it snows on a regular basis, how do you deal with it? Sorry it's just that it rarely snows over here and a lot of people freak out when it does.",1262,2015-04-07 14:53:19.777974+00,f
147,122,"Yes, life in America is easy-going, and I agree with you that our schools compared to other countries are very social and a decent education system.",1244,2015-04-07 14:53:32.96034+00,f
148,123,"What state do you live in? (Im currently living in Arkansas, though im not entirely american)",1262,2015-04-07 14:54:25.203605+00,f
149,121,"I agree with you that some countries can be quiet or loud, but it depends on where in the country you live. Where do you live?",1244,2015-04-07 14:54:51.816248+00,f
150,111,"Dear Cathy L.,
         Hi. I have no idea what to write. To be honest i feel kinda weird just randomly writing you and asking you a bunch of questions. But ill do it any way. Were in Canada are you from.? I'm from Arkansas and before you say anything no not everyone from Arkansas is a toothless hillbilly. I live in Bentonville so here everyone either works for Walmart or Tyson. Also, what is your school like? I'm in the eighth grade and I go to a  Junior high school. Here everyone is relatively nice and the majority of us get along fairly well. I Have one last question. What are some of your interests. I bowl and play tennis. I'm not a sports nut though. I like to play the Baritone( its basically like a mini tuba) in the school band. I do like to play some video games too. I can't wait to read your response. 
Sincerely,
Lindsay T.",2469,2015-04-07 14:55:06.214532+00,f
151,124,Where do you live? I am from the United States. I live in the state Texas.,9915,2015-04-07 14:56:16.311744+00,f
152,125,Where do you live? I am from the United States. I live in the state Texas.,9915,2015-04-07 14:56:38.266389+00,f
153,126,What is your favorite hobbies i like American football and wrestiling,9386,2015-04-07 14:57:13.432667+00,f
154,127,"I believe that the most unique thing about our country is the pride. Most of us hold a deep appreciation for America. Also,  the wide variety of ways to express oneself. Everyone is different from each other and most except that fact.",9485,2015-04-07 15:04:37.004847+00,f
155,129,Hey whats up? My name is Abby and follow me on instagram!!:),10646,2015-04-07 15:05:39.799761+00,f
156,131,hi Bailey,10665,2015-04-07 15:06:57.203835+00,f
157,130,Hello! im hannah im 13 years old and im from wayne oklahoma. Wbu? Instagram: hannahmadden33,10657,2015-04-07 15:07:20.835422+00,f
160,131,how are you?,10665,2015-04-07 15:10:40.523029+00,f
163,137,"Hi im sydney, where are you from?",10420,2015-04-07 15:14:01.951659+00,f
164,133,hello this is eliana.b and its nice to talk to you. i play softball at my school i'm #18 do play any sports at your school? my fave color is blue ? how old are you ?where are you from,10652,2015-04-07 15:14:04.287316+00,f
165,132,"Greetings! Hi I'm Shelby, i live in Wayne, America. I like netflix and food. Do you have instagram, twitter, or snapchat?",10648,2015-04-07 15:14:18.464042+00,f
166,129,"And my favorite color is Teal, fav food: Mac Cheese, fav#: 07, fav sports: basketball, softball,and cheer, fav game:  minecraft, fav app: instagram P.s follow me!! :)",10646,2015-04-07 15:16:15.665473+00,f
380,374,Hi my name is Dylan and i live in Texas where do you live?,9968,2015-04-08 17:32:30.372724+00,f
158,128,"Hi, my name is kaylynn I'm 13 years old I live in Wayne Oklahoma. Do like pizza??? I love pizza. What state do you live in??",10653,2015-04-07 15:08:34.673+00,t
167,55,"Swathi, thanks for getting in touch.  We're also looking forward to our Pen Pals exchange with your students.  Best wishes!",6527,2015-04-07 15:31:42.535261+00,f
168,66,"Hello my name is lars and live in SWITZERLAND rather in Bäretswil in the canton of Zurich
and where do you live?",11269,2015-04-07 16:01:00.792222+00,f
169,147,"Hello my name is lars and live in SWITZERLAND rather in Bäretswil in the canton of Zurich
and where do you live?",11269,2015-04-07 16:01:48.930205+00,f
170,148,"Hello my name is lars and live in SWITZERLAND rather in Bäretswil in the canton of Zurich
and where do you live?",11269,2015-04-07 16:02:35.516771+00,f
171,156,"hey
what r some hoddies of yours",10736,2015-04-07 16:23:21.670849+00,f
172,90,"Hi, my name is Adam. I live in Ontario Canada. My favourite foods are maple syrup with pancakes and moosemeat. I live in an igglu with my polar bear hershey. I have a terrible habit of saying ""EH"" all the time. I also always say sorry because I am a very considerate person.",10707,2015-04-07 16:43:05.473044+00,f
173,160,"Hi, I'm Erin I love Volleyball and costume making. I was wondering what some of your hobbies are?",10690,2015-04-07 16:46:56.803573+00,f
174,161,"Hi, I'm Erin I love Volleyball and costume making. I was wondering what some of your hobbies are?",10690,2015-04-07 16:47:43.517507+00,f
175,162,"Hi, I'm Erin I love Volleyball and costume making. I was wondering what some of your hobbies are?",10690,2015-04-07 16:48:17.569718+00,f
176,163,"Hi! I'm Tammy your new penpal! I was wondering if you would be willing to tell me a bit about yourself? ((ex:age, hobbies, etc.)",10695,2015-04-07 16:49:34.617407+00,f
177,159,"Very nice to hear from you. My name is Julia and I live in Canada, what state do you live in? I am 13 years old, turning 14 in a few months. We are doing this project in Language, however my favourite subject is Science. What is your favourite subject? When I grow up I want to be a biologist, I want to travel the world and hopefully help people in need. I am very athletic and enjoy playing many sports. Do you play any sports? What are your favourite sports? I look forward to learning more about where you live!",10710,2015-04-07 16:50:10.846332+00,f
178,164,"Very nice to hear from you. My name is Julia and I live in Canada, what state do you live in? I am 13 years old, turning 14 in a few months. We are doing this project in Language, however my favourite subject is Science. What is your favourite subject? When I grow up I want to be a biologist, I want to travel the world and hopefully help people in need. I am very athletic and enjoy playing many sports. Do you play any sports? What are your favourite sports? I look forward to learning more about where you live!",10710,2015-04-07 16:50:59.930297+00,f
179,165,hi,10771,2015-04-07 16:51:36.409099+00,f
180,166,"Very nice to hear from you. My name is Julia and I live in Canada, what state do you live in? I am 13 years old, turning 14 in a few months. We are doing this project in Language, however my favourite subject is Science. What is your favourite subject? When I grow up I want to be a biologist, I want to travel the world and hopefully help people in need. I am very athletic and enjoy playing many sports. Do you play any sports? What are your favourite sports? I look forward to learning more about where you live!",10710,2015-04-07 16:51:46.176481+00,f
181,167,hi,10771,2015-04-07 16:52:03.94656+00,f
182,168,hi,10771,2015-04-07 16:52:19.372585+00,f
183,172,"Hey Madisyn! My name is Karman and I live in Oakville Ontario, Canada.  I cannot wait to communicate with you in the future! I love playing basketball and tennis. I am 13 and my birthday is May 22nd. Can't wait to talk. -Karman",10714,2015-04-07 16:59:17.300106+00,f
184,118,"Hi! I'm Hilary. I am very excited to be Pen Pals really with you. To answer your question, I think that many of our northern species are unique including polar bears and reindeer, (which is an actual thing). Even though this is an English/Language project for us, my favourite school subjects are science and gym. I am a girl, (if you haven't figured that out) and I really enjoy sports. I specifically live in a city near Toronto, Ontario. I would love to know a little bit more about you too:)",10682,2015-04-07 17:00:11.603155+00,f
185,174,"Hey! I'm Nadine and I am an eighth grader who enjoys singing, acting, baking, figure skating, and basketball. I work really hard to do the best I can on every assignment I'm given. I look forward to working with you and hope you enjoy working with me as well :) What's your strongest subject in school? Mine is Math, I know it's not a popular 'favourite subject' but I enjoy working on the theories and knowledge questions.",10688,2015-04-07 17:00:26.299488+00,f
186,178,"Hey! I'm Nadine and I am an eighth grader who enjoys singing, acting, baking, figure skating, and basketball. I work really hard to do the best I can on every assignment I'm given. I look forward to working with you and hope you enjoy working with me as well :) What's your strongest subject in school? Mine is Math, I know it's not a popular 'favourite subject' but I enjoy working on the theories and knowledge questions.",10688,2015-04-07 17:01:05.919787+00,f
187,179,"Hey! I'm Nadine and I am an eighth grader who enjoys singing, acting, baking, figure skating, and basketball. I work really hard to do the best I can on every assignment I'm given. I look forward to working with you and hope you enjoy working with me as well :) What's your strongest subject in school? Mine is Math, I know it's not a popular 'favourite subject' but I enjoy working on the theories and knowledge questions.",10688,2015-04-07 17:01:53.025632+00,f
189,193,what country are you from,9947,2015-04-07 17:42:05.123415+00,f
190,195,what country are you from,9947,2015-04-07 17:42:43.218711+00,f
191,197,"I agree! Also, just relaxing and spending time with your family and friends.",9932,2015-04-07 17:44:48.34408+00,f
192,198,what country are you from?,10434,2015-04-07 17:48:24.455408+00,f
