id,name,code,teacher_id,description,course_id,skill,country,state,target_start_date,points
69,Mrs. Ward,edDD7o,133,5th/6th grade multi-age classroom,1,Beginner,United States,IL ,2015-01-12,25
325,Scholastic World News Demo: USA,ZyY5QR,4276,Test class for World News from the USA matched with a test class in the Middle East,1,Advanced,United States,NY ,2015-01-12,50
125,PS/IS 218,T11v7Y,392,"Sixth grade class with backgrounds from the Dominican Republic, Africa, Spain, and Mexico.",1,Beginner,United States,NY ,2015-01-12,25
102,Period 1,q0W0Qk,94,10th grade World History,1,Intermediate,United States,PA ,2015-02-23,25
73,Wojo's World History,4uL6H4,157,3rd Block Class of Honors World History (9th Grade),1,Advanced,United States,SC ,2015-02-23,25
108,Period 8,tMYQKZ,94,10th grade World History,1,Intermediate,United States,PA ,2015-02-23,25
103,Period 3,CTDFwW,94,10th grade World History,1,Intermediate,United States,PA ,2015-02-23,25
105,Period 5,261ARh,94,10th grade World History,1,Intermediate,United States,PA ,2015-02-23,25
104,Period 4,jks8nb,94,10th grade World History,1,Intermediate,United States,PA ,2015-02-23,25
77,Mrs. Birdwell's class,GgqPlj,162,"",1,Beginner,United States,IA ,2015-01-12,0
2206,Srta. Coles Espanol,eCJmpf,23502,"",11,Beginner,United States,SC,2015-09-21,0
1926,Mrs. Duggan's 5th grade,9QT3tq,18065,"",11,Intermediate,United States,AR,2015-08-31,0
96,Mrs. Hager's Second Graders,ybGI8N,285,"We are second graders in Mount Prospect, IL.",1,Beginner,United States,IL ,2015-04-06,25
1996,Lions 2,lodqvz,14785,"",11,Beginner,United States,NC,2015-09-10,0
331,5A,zSw7nw,4146,Deneme,1,Beginner,Turkey,"",2015-04-06,25
2275,WPH - World Explorer - Semester 1,chiJGq,15989,"",11,Beginner,United States,PA,2015-09-16,0
2308,English 10,ca3AAl,25243,"",12,Intermediate,United States,OH,2015-09-28,0
326,Scholastic World News Demo: Middle East,NGiZW6,4278,Middle East test class for PenPal Schools matched with a test class from the USA,1,Advanced,Egypt,Cairo Governorate ,2015-01-12,50
100,RTI Group,tbDSXz,326,This is a group of students who are in the upper 80 percentile of their grade level. This project will be used as enrichment 3 times per week.,1,Beginner,United States,NY ,2015-01-12,50
738,Individual,F6dmWG,9539,individual student,1,Intermediate,United States,NY ,2015-04-06,25
2340,G8 Per. 2,YJOads,19109,"",12,Beginner,United States,CA,2015-09-28,0
65,2nd Block - World Geography,UozsdE,124,"",1,Beginner,Kenya,SC ,2015-04-20,0
2404,6-2 Spanish,0tHEkn,20785,"",11,Beginner,United States,NJ,2015-09-28,0
80,Woods Second Grade Stoneville Elementary School,U7Pg1p,182,"Our class is made up of 16 students, 10 boys and 6 girls. We are a second grade classroom.",1,Beginner,United States,NC ,2015-01-12,50
76,Mrs. London's Class,PmNM3r,161,Our class is a 3rd-4th multiage classroom,1,Beginner,United States,IL ,2015-01-12,25
2372,Mrs. O'Keefe core two class,VtKl2I,25747,"",1,Beginner,United States,NJ,2015-11-02,0
2241,Mrs. Black's 6th Grade SS 5th Period,824tOe,23884,"",11,Beginner,United States,TX,2015-10-05,0
2066,English 10 PreAP Period 2,nsIzUO,16202,"",1,Advanced,United States,NV,2015-09-07,0
338,6th Grade,xxDyRu,4419,Language Arts,1,Beginner,United States,MI ,2015-02-23,25
332,Andy's English School middle schoolers,erQau6,4324,"We are an English language school in Chitose, Japan. We love English and talking to people from all over the world!",1,Beginner,Japan,Hokkaido Prefecture ,2015-02-23,50
1912,Scully's,uLlEWH,17973,"",11,Intermediate,United States,FL,2015-08-27,0
1962,Balmes,4BH7aS,18282,"",11,Intermediate,Spain,CT,2015-09-30,0
1550,Kyle's Class,SiXbE8,15434,"",11,Beginner,Canada,NS,2015-07-07,0
2405,6-1 Spanish,mGGTU7,20785,"",11,Beginner,United States,NJ,2015-09-28,0
2032,3-4 CSE,s3ViDJ,19044,"",1,Beginner,Netherlands,NH,2015-08-30,0
2564,Ms. Cook's Class,9hV4lK,29507,"",11,Beginner,United States,IL,2015-10-07,0
2067,Mrs. Birdwell's class,PJLBRF,162,"",11,Advanced,United States,IA,2015-09-07,0
1758,Business & Technology (Fall 2015),bPpML1,16789,"",1,Advanced,United States,GA,2015-08-15,0
2373,Mrs. O'Keefe core one class,VoqSEI,25747,"",1,Beginner,United States,NJ,2015-11-02,0
2540,Grade 8 Athena Cia First,3OdqVO,29179,"",11,Beginner,Cambodia,Phnom Penh,2015-10-18,0
2309,Global Project 7,Lpdnij,21170,"",1,Beginner,United States,PA,2015-10-13,0
1740,Hot Brain,XgfA2Q,16583,"",11,Beginner,Ghana,Central,2015-09-07,0
1659,Clark 1st Period 2015,BuWX3E,16023,"",11,Intermediate,United States,IN,2015-08-14,0
2102,West Virginia,hPfrbQ,20649,"",11,Beginner,United States,TN,2015-09-02,0
165,321 Advisory,vvcpnp,707,Mixed aged middle school students,1,Intermediate,United States,NY ,2015-01-12,25
155,Period 1,MQa0yS,286,AGLA,1,Intermediate,United States,CA ,2015-01-12,25
156,Period 2,SfzMY4,286,AGLA,1,Intermediate,United States,CA ,2015-01-12,25
1673,8th Grade ELA - purple,RmKQqn,15945,"",11,Intermediate,United States,SC,2015-09-06,0
333,Luke Strawser,Xyf3Qn,81,"",1,Intermediate,United States,PA ,2015-01-12,0
2137,IDR ENG,yK9eeU,21721,"",11,Intermediate,Denmark,Central Denmark Region,2015-09-13,0
2207,2015 Journalism 1,MPPRTa,2032,"",1,Advanced,United States,PA,2015-09-14,0
1927,Mrs. Duggan's 6th grade,nSRb0W,18065,"",1,Intermediate,United States,AR,2015-08-31,0
111,Mrs. King,uMdqz5,337,"",1,Intermediate,United States,CA ,2015-02-23,0
304,7A,EN6d2v,3846,"",1,Beginner,Turkey,"",2015-04-06,0
1769,Cultural Studies 4th P,8SXV0l,15816,"",11,Advanced,United States,NC,2015-08-18,0
163,people of alone streets,bFCNnj,706,A new culture,1,Beginner,Turkey,Van Province ,2015-01-12,25
2276,WPH - Decision 2016 - Semester 1,XlWgku,15989,"",12,Beginner,United States,PA,2015-09-16,0
755,Individual,5SLABt,9692,individual student,1,Beginner,Turkey,"",2015-04-06,25
199,TE13C,GGMoEp,1213,English as Second language,1,Advanced,Sweden,Kalmar County ,2015-01-12,25
1818,Barrett 4th Grade,p7mh7h,9428,"",11,Beginner,United States,VA,2015-09-30,0
2516,Grade 8 Ajax,B9MWv4,28700,"",11,Intermediate,Cambodia,Phnom Penh,2015-10-18,0
135,FIS Library,SSgdOV,526,We are 10 students aging from 10-12 years old and are excited to exchange thoughts and opinions on Pen Pal News.,1,Intermediate,United States,NY ,2015-01-12,50
148,Language Arts,I3ttAq,611,7th Grade Language Arts class,1,Intermediate,Kenya,IL ,2015-04-20,25
2341,BES 2015,mzV6rv,13712,"",11,Intermediate,United States,WY,2015-10-17,0
764,Ms. Bua Spring 2015,0BlWYq,3820,"",1,Beginner,United States,TX ,2015-04-06,0
182,3rd Hour Composition,AHgwGk,611,7th Grade Composition Class,1,Beginner,Kenya,IL ,2015-04-20,25
158,Period 4,sGwYra,286,AGLA,1,Intermediate,United States,CA ,2015-01-12,25
143,LOGAN Hope Middle School,m12oFH,592,"",1,Intermediate,United States,PA ,2015-01-12,0
2172,English Center Israel,EcFgdq,14519,"",1,Advanced,Israel,"",2015-11-01,0
147,8th Grade 2015 McConnaha,1a9oVn,576,"",1,Advanced,United States,MT ,2015-01-12,0
133,Sociology,0q8VX4,478,"",1,Advanced,United States,IN ,2015-02-23,0
1789,Primagrupp 6,6vmzQ4,15004,"",11,Intermediate,Sweden,Stockholm County,2015-09-19,0
1616,Creativity and Digital Design,GpgpZ0,15839,"",1,Advanced,Mexico,Qro.,2015-08-24,0
2437,Fourth Period Dolen,7HLu9z,14617,"",12,Beginner,United States,KY,2015-09-28,0
2242,Mrs. Black's 6th Grade SS 6th Period,TJmWni,23884,"",11,Beginner,United States,TX,2015-10-05,0
198,Pathways,SO5K5G,1208,"A college and career readiness course, which also asks students to develop as global learners.",1,Intermediate,United States,CA ,2015-01-12,50
2579,Conversation Club,F8qIwa,29712,"",1,Beginner,Turkey,Ankara,2015-10-04,0
2491,9Athena,j9UPG0,28245,"",11,Advanced,Cambodia,Phnom Penh,2015-10-11,0
1913,Spanish 2,HvQQjs,17976,"",11,Beginner,United States,TN,2015-08-28,0
1517,ESB,8Edw4t,15084,"",1,Advanced,Iran,Tehran,2015-06-20,0
1551,English 10,rbhyl1,15451,"",11,Beginner,United States,CA,2016-01-01,0
1928,French 3/4,SoHS5R,132,"",11,Intermediate,United States,NC,2015-09-07,0
173,Austin Area Homeschoolers,ssa1im,805,"homeschooler (boy) 13 years old in Austin, TX",1,Beginner,United States,TX ,2015-01-12,25
357,Vaughn 3,1SLCa1,663,"",1,Intermediate,United States,NC ,2015-01-12,0
157,Period 3,Ir4xO1,286,AGLA,1,Intermediate,United States,CA ,2015-01-12,25
144,Ms. Ruiz A Day,NRwjeo,591,"10th grade English at a public high school in Austin, Texas.",1,Intermediate,United States,TX ,2015-01-12,25
1997,Blankenship/Remediation Language Arts,MY48bE,18499,"",11,Beginner,United States,OK,2015-08-27,0
195,Room 204 Sparks of Knowledge,TSKjuY,1198,"We are a classroom of 19 fourth graders living in the suburbs of Chicago, Illinois in the United States.  We are looking forward to connecting with students from other countries and sharing our thoughts and ideas about different topics.",1,Beginner,United States,IL ,2015-01-12,50
190,7th Grade McConnaha,Aey4yN,576,"",1,Intermediate,United States,MT ,2015-01-12,0
146,WMS Global Connections - George,L1yVSF,597,7th grade social studies at Weston Middle School,1,Intermediate,United States,CT ,2015-04-06,25
192,Integrated,UyN2oK,286,"",1,Beginner,United States,CA ,2015-01-12,0
2103,BPort Hospitality and Tourism,nU6dOW,20650,"",11,Beginner,United States,TX,2015-09-21,0
149,2nd Hour Literature,KKmjmu,611,Middle School Literature classroom,1,Beginner,United States,IL ,2015-04-06,25
145,WMS Global Connections - Marone,hr2hOH,594,7th grade social studies at Weston Middle School,1,Intermediate,United States,CT ,2015-04-06,25
2068,Pre AP English 10  Period 6,6otDej,16202,"",1,Advanced,United States,NV,2015-09-07,0
305,Room 7-Mrs. Robowski- Feb. Session,0F14bg,328,"First grade in the San Francisco Bay Area, California.",1,Beginner,United States,CA ,2015-04-06,25
2138,KRE ENG,G7KztY,21721,"",11,Intermediate,Denmark,Central Denmark Region,2015-09-13,0
1998,Lead (2),byDNa2,16580,"",1,Beginner,United States,AL,2015-08-31,0
371,2D7,Nqzp3T,5214,Class of 18 very smart and chatty,1,Advanced,United Kingdom,Scotland ,2015-04-06,25
188,Social Studies,v6tKfU,1089,"",1,Beginner,United States,NC ,2015-04-06,0
1584,8th Grade ELA,fc6HnD,15644,"",1,Beginner,United States,GA,2015-08-15,0
150,7th Hour Literature,cPUrSr,611,Middle School Literature classroom,1,Intermediate,United States,IL ,2015-04-06,25
197,Mrs. Hensley's ELA,ES37ba,1205,English Language Arts,1,Beginner,United States,IL ,2015-01-12,25
725,Individual,EYGQ4a,9427,individual student,1,Beginner,Indonesia,"",2015-04-06,25
154,Robinson's World History Class,qmvhFd,682,Freshman World History,1,Intermediate,United States,NC ,2015-02-23,25
756,Individual,gjuOA5,9694,individual student,1,Beginner,Malaysia,"",2015-04-06,25
181,Kid Talk,0chBlb,978,Elementary and Middle school,1,Intermediate,United States,NC ,2015-01-12,25
185,Projects,MwCmEP,1017,Project based learning,1,Beginner,United States,CA ,2015-01-12,25
2173,Mrs. Johnson's Super Students,ejnAWr,22325,"",11,Beginner,United States,FL,2015-09-21,0
319,Lynn Colwell,bbzQPa,3958,PenPal Schools Rocks!,1,Intermediate,United States,"",2015-02-23,25
313,George 6,ys9Fhd,597,"",1,Intermediate,United States,CT ,2015-02-23,0
168,Room 6,naVOXa,737,"28 students, from a low socio-economic area in Los Angeles.  Students come from a mostly hispanic background. They are just learning about a world that is bigger than their 10 square block in the depths of Los Angeles.",1,Intermediate,United States,CA ,2015-01-12,50
2208,Ms. Melder's 6th Grade Class,YuEXQn,23543,"",1,Beginner,United States,LA,2015-09-28,0
180,Mrs. Youngblood's Class,t4yNSS,961,10 students,1,Beginner,United States,KY ,2015-04-06,25
170,8th Grade Social Studies,MF02f8,746,~121 students,1,Beginner,United States,AR ,2015-04-06,25
1617,Creativity and Digital Design,5RcM3L,15839,"",1,Advanced,Mexico,Qro.,2015-08-27,0
1646,MS08 Year 9 Humanities and Social Sciences,EpLfLq,15972,"",1,Beginner,Australia,SA,2015-09-27,0
2033,Room 118,w2nH2G,19093,"",11,Beginner,United States,MO,2015-09-04,0
2243,Tea break,2kyNaM,23993,"",1,Beginner,Russia,Nizhny Novgorod Oblast,2015-09-13,0
2277,Library MCMS,M8kb4o,24586,"",11,Beginner,United States,PA,2015-10-05,0
1963,English 9,mqZKf5,18311,"",11,Advanced,United States,OH,2015-09-13,0
1914,Spanish 2,BPhYoG,17976,"",11,Beginner,United States,TN,2015-08-28,0
1518,mindcet test,q6TZ5N,15098,"",1,Advanced,Israel,South District,2015-06-27,0
2406,6-3 Spanish,X3hiJ4,20785,"",11,Beginner,United States,NJ,2015-09-28,0
1647,6.B -English,YcFcur,15977,"",11,Beginner,Denmark,Capital Region of Denmark,2015-10-06,0
2374,Mrs. O'Keefe core five class,Pbuz22,25747,"",1,Beginner,United States,NJ,2015-11-02,0
2069,Mrs. Metcalfe's World Explorers,2aSp3C,20345,"",11,Beginner,United States,CA,2015-09-21,0
2139,Mrs. Lieber,IugH4r,21731,"",1,Beginner,United States,NY,2015-09-28,0
1700,The Panthers,bkmVal,16265,"",11,Beginner,United States,TX,2015-09-07,0
2034,8th Grade Lab,6gmsCa,19098,"",1,Advanced,United States,KY,2015-08-30,0
298,Miss. Majewski's Class,JjACI2,1203,Grade 7,1,Beginner,Canada,ON ,2015-02-23,25
320,Rhodah's Class,SOyeO1,4179,"",1,Intermediate,Kenya,"",2015-01-12,0
2599,GDC MP2,UCXM0y,29920,"",11,Intermediate,United States,NJ,2015-10-19,0
346,Class 1,Zcpppm,81,"",1,Intermediate,United States,PA ,2015-01-12,0
741,Individual,wX3tnW,9576,individual student,1,Beginner,Australia,VIC ,2015-04-06,25
2244,Ms. Heider,JQ3T6a,24049,"",11,Beginner,United States,IL,2015-09-21,0
2278,Mrs. Wiley's Class,SFYbGw,24378,"",11,Beginner,United States,IL,2015-09-21,0
2647,Dream Team,XIdc5F,26718,"",1,Beginner,United States,TX,2015-10-12,0
208,Mrs. Colwell,Yq683r,1232,We have 5 classes of 6th graders in a rural part of New York.   We have participated in Pen Pal Schools maybe 4 times so far.,1,Intermediate,United States,NY ,2015-01-12,50
2580,Psychology,bjzRay,478,"",1,Intermediate,United States,IN,2015-10-12,0
358,Vaughn 4,H1zBpi,663,"",1,Intermediate,United States,NC ,2015-01-12,0
2541,ROOM B-28,OAOIlN,29181,"",1,Beginner,United States,TX,2015-10-08,0
1729,Hopetown Girls,Cq7gEo,13368,"",11,Advanced,India,UT,2015-08-13,0
1722,Primagrupp 2,3xry5n,15006,"",11,Intermediate,Sweden,Stockholm County,2015-09-12,0
2209,VSIE,2lyWxN,18435,"",11,Beginner,Canada,BC,2015-09-21,0
2391,Introduction to Business,NCr9Zg,26875,"",1,Beginner,United States,NE,2015-10-05,0
151,Vaughn,IW8dNB,663,6th Grade ELA,1,Intermediate,United States,NC ,2015-01-12,25
1759,Journalism Yearbook (Fall 2015),rBb4EE,16789,"",11,Advanced,United States,GA,2015-08-15,0
176,Mrs. Conrady's 5th Grade,4YmHo3,839,5th Grade English,1,Beginner,United States,KS ,2015-01-12,25
202,Projects 2,AgJ60V,1017,periods 3/4,1,Beginner,United States,CA ,2015-01-12,25
203,7th Grade at The Madeleine,viaH2E,1448,"7th graders from Portland, OR",1,Beginner,United States,OR ,2015-01-12,25
740,DeMaria,stQaNX,9498,3rd Grade Students,1,Beginner,United States,FL ,2015-04-06,25
1790,Mrs. Bruner,D3EbFb,17208,"",11,Beginner,United States,OH,2015-09-30,0
2438,Sixth Period Dolen,FGWpwS,14617,"",12,Beginner,United States,KY,2015-09-28,0
2310,Grady Gators,A4DnHY,25613,"",11,Intermediate,United States,TX,2015-09-25,0
2657,8th grade writing course,5V5JCO,26997,"",11,Beginner,United States,TX,2015-10-09,0
1819,OLV 5/6,meogel,17499,"",11,Intermediate,Canada,ON,2015-10-04,0
1628,Mrs. Morgret's 4th Grade,QB2gix,15873,"",11,Beginner,United States,PA,2015-08-31,0
171,Geography,UucCH7,772,World Geography classroom with 50 students,1,Intermediate,United States,NY ,2015-01-12,25
2715,4M,wsfBJM,31909,"",11,Beginner,Australia,NSW,2015-10-11,0
2634,CHI,qyrhUD,29865,"",11,Intermediate,India,KA,2015-10-25,0
2174,8 A,7O7wAR,21472,"",12,Intermediate,United States,WA,2015-09-11,0
2676,3 Laszuk,pvvMoC,31754,"",11,Beginner,Canada,AB,2016-01-11,0
2492,9 Blue,Sc5UmH,27733,"",1,Beginner,United Kingdom,England,2015-09-28,0
2447,Edinger Spanish 1,yzXKWH,27586,"",11,Beginner,United States,IN,2015-09-28,0
2565,Withers,d5aBXA,26594,"",1,Beginner,United States,MO,2015-10-05,0
2763,4C,2lANCq,33049,"",1,Intermediate,Australia,NSW,2015-10-18,0
2396,Blanton's Pals,E1zfyX,26917,"",11,Beginner,United States,KY,2015-09-28,0
273,Knowledge is power,bll0jD,3402,"",1,Beginner,United States,CA ,2015-02-23,0
1915,2015-2016,R7lETV,17977,"",11,Beginner,United States,CA,2015-08-31,0
2279,Mrs Arndt,fAafAc,24599,"",11,Beginner,United States,NE,2015-09-23,0
1519,Amirim,pVVJjC,15101,"",1,Beginner,Israel,"",2015-10-24,0
1791,Primagrupp 1,xB7nm8,15006,"",11,Beginner,Sweden,Stockholm County,2015-09-12,0
2600,GT Middle School,h2azIj,29941,"",11,Advanced,United States,TX,2015-10-12,0
1965,Wilcox HR,Ml6neo,18316,"",1,Beginner,United States,IA,2015-08-26,0
2035,Ms. Whitehead's Busy Bees,V1Ayik,19106,"",11,Beginner,United States,MI,2015-08-31,0
2245,1st period,3AIEnm,21607,"",1,Beginner,United States,GA,2015-09-18,0
1701,Fifth Period,uNtHyf,16267,"",1,Beginner,United States,MS,2015-08-12,0
2070,Nelson's Second Grade Owls,QSWjqM,20350,"",11,Beginner,United States,GA,2015-09-13,0
2105,Mohan Period 3,CygTep,19595,"",1,Beginner,United States,MD,2015-09-06,0
1648,World Cultures 7,2edEdM,15986,"",11,Beginner,United States,IN,2015-08-17,0
1676,Cultural Studes Blue,3ZVDaS,16146,"",11,Advanced,United States,NC,2015-08-09,0
347,Class 2,Jf6Oib,81,"",1,Intermediate,United States,PA ,2015-01-12,0
354,Rodríguez,6hqDHn,4811,La.mejor,1,Beginner,Algeria,Constantine ,2015-04-06,25
727,Individual,pIZfQk,9429,individual student,1,Advanced,Turkey,"",2015-06-15,25
2542,3 ESO,WTn61h,29183,"",11,Beginner,Spain,CT,2015-10-12,0
775,Individual,a2nldC,9831,individual student,1,Beginner,United States,MT ,2015-04-06,25
2175,6th grade,dGnKwJ,22392,"",11,Beginner,Spain,CL,2015-10-06,0
2000,Terminale STI 2D 1,mbGi4v,18523,"",1,Intermediate,France,PACA,2015-09-06,0
2375,Mrs. O'Keefe core four class,zXSpKS,25747,"",1,Beginner,United States,NJ,2015-11-02,0
247,Mr. Zugrave's Geography Class (Period 2),xT7kQG,122,Honors Geography class (mixed grade levels),1,Advanced,United States,FL ,2015-02-23,25
2140,5/6 Pratap,gVigLr,21736,"",1,Intermediate,Australia,TAS,2015-10-18,0
742,Individual,aSeOms,9578,individual student,1,Beginner,Australia,VIC ,2015-04-06,25
792,Mrs. Mantooth's 7th Grade Elective,rlymtv,41,8 7th graders and 1 8th grader learning a sampling of all subjects.,1,Intermediate,United States,OK ,2015-04-06,25
2635,International Cooperation 10,F5ZTB9,17388,"",1,Intermediate,Norway,Østfold,2015-10-11,0
2210,Mrs. Hope's Class,HCrlkH,23555,"",11,Beginner,United States,MO,2015-09-14,0
246,Mr. Zugrave's Geography Class (Period 1),8n9edB,122,Honors Geography class of mixed grade level high school students,1,Advanced,United States,FL ,2015-02-23,25
254,4th Period,H41oTs,2230,Mrs. Gilcher's 6th Grade Social Studies Class 4th Period,1,Intermediate,United States,GA ,2015-02-23,25
236,Computer Apps/MS Computer,eVWYfI,2040,"",1,Beginner,United States,CO ,2015-02-23,0
269,María,8ixrxf,3276,PenPal Schools Rocks!,1,Advanced,Mexico,"",2015-01-12,25
243,Writing Class,x6kFO4,123,"",1,Beginner,United States,ME ,2015-02-23,0
322,Rhodah's 11 Year Olds,7m7DSt,4179,"",1,Intermediate,Kenya,"",2015-01-12,0
321,Rhodah 10 Year Olds,vYb3j9,4179,"",1,Intermediate,Kenya,"",2015-01-12,0
2407,Mrs. Houser's class,8UXqbq,27057,"",11,Beginner,United States,KY,2015-09-28,0
1930,French 1 (4th),oGrmdm,132,"",11,Beginner,United States,NC,2015-09-07,0
1723,Primagrupp 3 och 4,VmAooD,15004,"",11,Intermediate,Sweden,Stockholm County,2015-09-12,0
1820,Milford Central Academy,dy6jM4,17501,"",11,Beginner,United States,DE,2015-08-31,0
1586,Cinnamon rolls,eJghaS,324,"",1,Intermediate,United States,TX,2015-09-01,0
2311,Around the World in 180 Days,lW4xYz,25668,"",11,Advanced,United States,NJ,2015-09-28,0
283,World News 101,Bhbmc5,5,This is a test class,1,Beginner,United States,TX ,2015-04-06,25
1839,Mrs.Muneer,RxIYs2,17547,"",11,Beginner,United States,TX,2015-09-21,0
